home_team,score,away_team
Mexico,2–0,South Africa
South Korea,2–1,Czech Republic
Czech Republic,1–1,South Africa
Mexico,1–0,South Korea
Czech Republic,0–3,Mexico
South Africa,1–0,South Korea
Canada,1–1,Bosnia and Herzegovina
Qatar,1–1,Switzerland
Switzerland,4–1,Bosnia and Herzegovina
Canada,6–0,Qatar
Switzerland,2–1,Canada
Bosnia and Herzegovina,3–1,Qatar
Brazil,1–1,Morocco
Haiti,0–1,Scotland
Scotland,0–1,Morocco
Brazil,3–0,Haiti
Scotland,0–3,Brazil
Morocco,4–2,Haiti
United States,4–1,Paraguay
Australia,2–0,Turkey
United States,2–0,Australia
Turkey,0–1,Paraguay
Turkey,3–2,United States
Paraguay,0–0,Australia
Germany,7–1,Curaçao
Ivory Coast,1–0,Ecuador
Germany,2–1,Ivory Coast
Ecuador,0–0,Curaçao
Curaçao,0–2,Ivory Coast
Ecuador,2–1,Germany
Netherlands,2–2,Japan
Sweden,5–1,Tunisia
Netherlands,5–1,Sweden
Tunisia,0–4,Japan
Japan,1–1,Sweden
Tunisia,1–3,Netherlands
Belgium,1–1,Egypt
Iran,2–2,New Zealand
Belgium,0–0,Iran
New Zealand,1–3,Egypt
Egypt,1–1,Iran
New Zealand,1–5,Belgium
Spain,0–0,Cape Verde
Saudi Arabia,1–1,Uruguay
Spain,4–0,Saudi Arabia
Uruguay,2–2,Cape Verde
Cape Verde,0–0,Saudi Arabia
Uruguay,0–1,Spain
France,3–1,Senegal
Iraq,1–4,Norway
France,3–0,Iraq
Norway,3–2,Senegal
Norway,1–4,France
Senegal,5–0,Iraq
Argentina,3–0,Algeria
Austria,3–1,Jordan
Argentina,2–0,Austria
Jordan,1–2,Algeria
Algeria,3–3,Austria
Jordan,1–3,Argentina
Portugal,1–1,DR Congo
Uzbekistan,1–3,Colombia
Portugal,5–0,Uzbekistan
Colombia,1–0,DR Congo
Colombia,0–0,Portugal
DR Congo,3–1,Uzbekistan
England,4–2,Croatia
Ghana,1–0,Panama
England,0–0,Ghana
Panama,0–1,Croatia
Panama,0–2,England
Croatia,2–1,Ghana
South Africa,0–1,Canada
Brazil,2–1,Japan
Germany,1–1 (a.e.t.),Paraguay
Netherlands,1–1 (a.e.t.),Morocco
Ivory Coast,1–2,Norway
France,3–0,Sweden
Mexico,2–0,Ecuador
England,2–1,DR Congo
Belgium,3–2 (a.e.t.),Senegal
United States,2–0,Bosnia and Herzegovina
Spain,3–0,Austria
Portugal,2–1,Croatia
Switzerland,2–0,Algeria
